radius depth density Vpv Vph Vsv Vsh eta Q-mu Q-kappa
5744 627 3.98281 10.20422 10.20422 5.53924 5.53924 1.00000 143 57823
5734 637 3.98514 10.21971 10.21971 5.54699 5.54699 1.00000 143 57823
5724 647 3.98746 10.23520 10.23520 5.55473 5.55473 1.00000 143 57823
5714 657 3.98979 10.25069 10.25069 5.56247 5.56247 1.00000 143 57823
5704 667 3.99212 10.26617 10.26617 5.57021 5.57021 1.00000 143 57823
5704 667 4.38074 10.75132 10.75132 5.94513 5.94513 1.00000 312 57823
5688.7 682.3 4.39029 10.79897 10.79897 5.98986 5.98986 1.00000 312 57823
5638.7 732.3 4.42128 10.95459 10.95459 6.13609 6.13609 1.00000 312 57823
5603 768 4.44320 11.06560 11.06560 6.24054 6.24054 1.00000 312 57823
5603 768 4.44320 11.06559 11.06559 6.24039 6.24039 1.00000 312 57823
5588.7 782.3 4.45194 11.09179 11.09179 6.25067 6.25067 1.00000 312 57823
5538.7 832.3 4.48228 11.18192 11.18192 6.28608 6.28608 1.00000 312 57823
5488.7 882.3 4.51232 11.26984 11.26984 6.32065 6.32065 1.00000 312 57823
5438.7 932.3 4.54206 11.35563 11.35563 6.35442 6.35442 1.00000 312 57823
5388.7 982.3 4.57150 11.43936 11.43936 6.38742 6.38742 1.00000 312 57823
5338.7 1032.3 4.60067 11.52110 11.52110 6.41967 6.41967 1.00000 312 57823
5288.7 1082.3 4.62956 11.60095 11.60095 6.45120 6.45120 1.00000 312 57823
5238.7 1132.3 4.65819 11.67896 11.67896 6.48204 6.48204 1.00000 312 57823
5188.7 1182.3 4.68656 11.75523 11.75523 6.51220 6.51220 1.00000 312 57823
5138.7 1232.3 4.71469 11.82983 11.82983 6.54173 6.54173 1.00000 312 57823
5088.7 1282.3 4.74259 11.90283 11.90283 6.57064 6.57064 1.00000 312 57823
5038.7 1332.3 4.77025 11.97431 11.97431 6.59897 6.59897 1.00000 312 57823
4988.7 1382.3 4.79770 12.04435 12.04435 6.62674 6.62674 1.00000 312 57823
4938.7 1432.3 4.82493 12.11304 12.11304 6.65398 6.65398 1.00000 312 57823
4888.7 1482.3 4.85196 12.18043 12.18043 6.68071 6.68071 1.00000 312 57823
4838.7 1532.3 4.87881 12.24662 12.24662 6.70696 6.70696 1.00000 312 57823
4788.7 1582.3 4.90547 12.31167 12.31167 6.73276 6.73276 1.00000 312 57823
4738.7 1632.3 4.93195 12.37567 12.37567 6.75813 6.75813 1.00000 312 57823
4688.7 1682.3 4.95827 12.43870 12.43870 6.78311 6.78311 1.00000 312 57823
4638.7 1732.3 4.98443 12.50083 12.50083 6.80771 6.80771 1.00000 312 57823
4588.7 1782.3 5.01045 12.56213 12.56213 6.83197 6.83197 1.00000 312 57823
4538.7 1832.3 5.03633 12.62269 12.62269 6.85592 6.85592 1.00000 312 57823
4488.7 1882.3 5.06208 12.68258 12.68258 6.87957 6.87957 1.00000 312 57823
4438.7 1932.3 5.08770 12.74188 12.74188 6.90296 6.90296 1.00000 312 57823
4388.7 1982.3 5.11322 12.80067 12.80067 6.92611 6.92611 1.00000 312 57823
4338.7 2032.3 5.13863 12.85902 12.85902 6.94906 6.94906 1.00000 312 57823
4288.7 2082.3 5.16395 12.91702 12.91702 6.97182 6.97182 1.00000 312 57823
4238.7 2132.3 5.18919 12.97473 12.97473 6.99442 6.99442 1.00000 312 57823
4188.7 2182.3 5.21434 13.03224 13.03224 7.01690 7.01690 1.00000 312 57823
4138.7 2232.3 5.23944 13.08963 13.08963 7.03927 7.03927 1.00000 312 57823
4088.7 2282.3 5.26447 13.14696 13.14696 7.06157 7.06157 1.00000 312 57823
4038.7 2332.3 5.28945 13.20432 13.20432 7.08382 7.08382 1.00000 312 57823
3988.7 2382.3 5.31440 13.26179 13.26179 7.10605 7.10605 1.00000 312 57823
3938.7 2432.3 5.33931 13.31944 13.31944 7.12828 7.12828 1.00000 312 57823
3888.7 2482.3 5.36420 13.37735 13.37735 7.15055 7.15055 1.00000 312 57823
3838.7 2532.3 5.38908 13.43560 13.43560 7.17287 7.17287 1.00000 312 57823
