LD45	54.1025	-159.8829	-2019.0
LT01	56.7756	-152.5228	-156.0
LT02	56.6932	-153.2611	-152.0
LT03	57.8668	-154.1665	-202.0
LT04	56.1118	-154.4446	-157.0
LT05	56.823	-155.3469	-236.0
LT06	56.2167	-155.9979	-225.0
LT07	56.6712	-156.1199	-262.0
LT08	55.5883	-156.5975	-246.0
LT09	55.1215	-157.1389	-151.0
LT10	55.6251	-157.3251	-98.0
LT11	56.1202	-157.3355	-162.0
LT12	55.207	-157.778	-83.0
LT13	54.8439	-158.3466	-203.0
LT14	55.6998	-158.0302	-125.0
LT15	55.2002	-158.3598	-167.0
LT16	55.4916	-158.6013	-125.0
LT17	54.5677	-160.2016	-114.0
LT18	54.74	-160.5814	-115.0
LT20	54.8002	-161.3746	-150.0
WD46	55.521393	-149.703732	-4349.0
WD47	54.951352	-150.444792	-3999.0
WD48	56.627365	-151.731343	-1324.0
WD49	54.399083	-151.89947	-4091.0
WD50	55.449527	-152.391763	-4986.6
WD51	55.905087	-152.771768	-4361.0
WD52	54.046622	-159.346215	-2564.0
WD53	53.779448	-153.422908	-4646.0
WD54	56.331433	-149.066665	-4520.0
WD55	55.761625	-153.662817	-1284.0
WD56	55.322267	-154.047078	-4060.0
WD57	54.736387	-154.434305	-5053.0
WD58	53.906227	-155.035345	-4493.0
WD59	53.383713	-155.799387	-4550.0
WD60	52.644867	-156.579823	-4519.0
WD61	54.647613	-156.868282	-2067.0
WD62	53.361962	-157.331882	-4626.0
WD63	52.590072	-158.093575	-4656.0
WD64	52.001077	-158.691562	-4754.0
WD65	52.899057	-158.91238	-4718.0
WD66	53.31452	-159.617565	-4941.0
WD67	52.162563	-160.035832	-4652.0
WD68	52.917603	-160.081145	-4715.0
WD69	53.782065	-160.34289	-3896.0
WD70	56.541073	-151.234407	-3253.0
WP24	56.9241	-158.6603	43.0
WP25	56.453	-159.7563	47.0
WP30	56.001	-161.2014	41.0
WS26	55.9123	-159.1431	36.0
WS27	55.2236	-159.9136	41.0
WS28	55.0746	-162.2992	45.0
WS71	56.15695	-153.078922	-1554.8
WS72	56.257748	-151.81063	-4141.7
WS73	54.419958	-158.513277	-2132.9
WS74	54.369193	-159.361628	-902.9
WS75	54.17963	-160.256908	-1108.9
